"song","tags"
"Broken Just Fine-JP","Singer-Songwriter,Light,Playful,bouncy"
"Nightmares To Dreams-JP","Dark,Worried,Sad,Edgy"
"Sensing A Connection-instr-JP","campy,Cheeky,Comedy,Dramedy"
"Christmas Lights-instr-JP","Cooking,Christmas,Sweet,thanksgiving,Holiday,Lights,Seasonal"
"The Low Lo-JP","Pop,Beat,Positive,Promo"
"I Brought the Drugs-JP","Passion Pit,MGMT"
"Bring It 005-JP","Top 40,Hip Hop,Promo,TV"
"Black Box-JP","Futuristic,Computer,Digital,Robotic"
"Missing You This Christmas-JP","reflective,Soft,Romantic,Holiday"
"Holiday Pop-JP","Fun,Children,Toys,Shopping"
"Country Christmas Blues-JP","Fun,Rocking,Upbeat,Positive"
"Christmas Mornings-JP","Soft,Gentle,Beautiful,Melancholy"
"Blueman Blues-JP","Happy,Positive,Video Games,Science"
"Up and Away-MG-JP","New Home,Shoreline Property,vacation home,Easy Living"
"Touch 003-JP","Romance,Wedding,Love,Etherial"
"Reptillian-JP","Horror,Creepy,Scary,Dark"
"Apple Sauce 001-JP","Comedy,Corny,Happy,Sugary"
"Feeling Good 006-JP","Cute,Indie pop,Quirky,Fun,bouncy,Silly"
"Hopscotch 005-JP","Score,Nostalgia,Innocent,Indie"
"Sphere-JP","space,Atmosphere,Technology"
"Calm During The Storm-JP","Calm,Montage,Lab,trip hop"
"Fruit Cake 001-JP","bouncy,Christmas,Pop,festive,Fun,Holidays"
"Cool Fool-JP","Quirky,Retro,Silly,Minimalist,Funky,wacky"
"Broken 012-JP","Sad,Emo,Gothic,minor key,Electric Guitar,Lonely,Friday Night Lights"
"Chinatown-JP","Modern,Chinese,Pop,Quirky,Traditional,Erhu,mashup,fusion,Asian"
"Little Havana 003-JP","Laid Back,Jungle,Tribal,Sensual,Hypnotic,Tribe"
"Cool Breeze 005-JP","new agey,Earthy,Planet Earth,Smooth,Chill,Relaxed"
"Recess 001-JP","80s,House,Dance,Party,Club,1980s,Fashion,En Vogue,vogueing"
"Halls of Heaven-JP","Ethereal,Epic,80s,1980s,Synths,Melancholic,Emotional,Goth"
"You are a Sneaky One Instr-JP","Indie,Mischievous,Sneaky,Suspicious,Sneaking,Tricky"
"You Little Stinker Instr-JP","Quirky,Reggae,Mischievous,Intriguing,interesting,Cute"
"Major Lasers BE Main-JP","Evil,Menacing,Moving,Haunting,Tough,Rap"
"Be The Range Main-JP","Gangsta,Driving,Menacing,Strong,Proud,Heavy"
"Be Fueling The Flame Main-JP","Epic,Edgy,Powerful,Driving,Confident,Strong"
"All The Way Home 001-JP","upbeat rock,NYC,Hipster,Brooklyn"
"Alpha Dogs-JP","Swung,Driving,Country Rock,Bluesy rock,Classic Rock,Bar"
"Night Club Party-JP","Deep House,Piano,Dance"
"Who We R-instr-JP","Radio,Underscore,Feel Good,Modern"
"Tonight into Forever-JP","Radio,song,Top40,Modern"
"Rise Up 005-JP","Dramatic,Radio,Underscore,realityshow"
"Rise up Bumper 1-JP","Dramatic,Radio,Underscore,realityshow"
"Falling for you 002-JP","Dramatic,Radio,song,realityshow"
"Dont Take Your Light Away-JP","Acoustic,Beautiful,Reminiscent"
"Dont Take Your Light Away Instr-JP","Acoustic,Beautiful,Reminiscent"
"American Roulette 001-JP","bass driven"
"American Roulette Instr-JP","bass driven"
"Friends and Lazers-JP","Party,Club,Dance,Epic"
"Collision Course 002-JP","Intense,Epic,Orchestral,Driving,Battle,Lord of the Rings,battling,War,war monger,WWII,WWI,Game of Thrones"
"Modern Day Warrior-JP","Intense,Epic,Orchestral,Driving,Battle,Lord of the Rings,battling,War,war monger,WWII,WWI,Game of Thrones"
"Climbing Towards Olympus-JP","Intense,Epic,Orchestral,Driving,Battle,Lord of the Rings,battling,War,war monger,WWII,WWI,Game of Thrones"
"Blunder 001-JP","Country,Love,Quirky"
"Like Were Seventeen-JP","Chill,Tropical,Island,Beach"
"Everything Comes Back-JP","Pop,Positive,love happy"
"Vehicles 001-JP","Hip Hop,Comedic,Rap,rb"
"LS Zithering Heights-JP","Nervous,Anxious,Dangerous,Suspenseful,Investigation,dark and creepy,gritty sequence,Detectives,Crime Scene,Killer,Criminal,on the hunt,Tense Moment,Scary,into the unkown,Dark Room,just around the corner,X Files"
"LS Where To-JP","Nervous,Anxious,Dangerous,Suspenseful,Investigation,dark and creepy,gritty sequence,Detectives,Crime Scene,Killer,Criminal,on the hunt,Tense Moment,Scary,into the unkown,Dark Room,just around the corner,X Files"
"Elements-JP","Fun,Party,Epic,Modern"
